date;titre;réalisateur;genre;durée
2011;Kung Fu Panda 2;Jennifer Yuh Nelson;Action / Comédie;90
2011;Transformers: Dark of the Moon;Michael Bay;Action / Science-fiction;154
2011;A Monster in Paris;Bibo Bergeron;Musique / Enfants;90
2011;The Dilemma;Ron Howard;Comédie / Drame;118
2011;Jealous of the Birds;Jordan Bahat;Histoire / Documentaire;120
2011;Sherlock Holmes: A Game of Shadows;Guy Ritchie;Action / Mystère;75
2012;Madagascar 3: Europe's Most Wanted;Eric Darnell;Comédie / Enfants;93
2012;The Dark Knight Rises;Christopher Nolan;Action / Super-héros;165
2013;Rush;Ron Howard;Action / Sport;123
2013;Man of Steel;Zack Snyder;Action / Super-héros;143
2013;The Lone Ranger;Gore Verbinski;Western / Action;149
2013;Mr. Morgan's Last Love;Sandra Nettelbeck;Romance / Comédie;116
2013;12 Years a Slave;Steve McQueen;Histoire / Drame;134
2013;Brave Miss World;Cecilia Peck;Documentaire / Religieux;88
2014;Winter's Tale;Akiva Goldsman;Romance / Drame;118
2014;Son of God;Christopher Spencer;Drame / Historique;138
2014;The Amazing Spider-Man 2;Marc Webb;Action / Super-héros;142
2014;Interstellar;Christopher Nolan;Science-fiction / Aventure;169
2015;Chappie;Neill Blomkamp;Action / Science-fiction;120
2015;The Little Prince;Mark Osborne;Enfants / Fable;108
2015;Freeheld;Peter Sollett;Romance / Drame;103
2015;Woman in Gold;Simon Curtis;Drame / Fiction;109
2016;Kung Fu Panda 3;Jennifer Yuh Nelson;Action / Enfants;95
2016;Batman v Superman: Dawn of Justice;Zack Snyder;Action / Super-héros;152
2016;The Last Face;Sean Penn;Drame;132
2016;Inferno;Ron Howard;Énigme / Thriller;121
2016;Hidden Figures;Theodore Melfi;Comédie / Drame;127
2017;The Boss Baby;Tom McGrath;Enfants / Comédie;97
2017;Dunkirk;Christopher Nolan;Guerre / Action;106
2017;Blade Runner 2049;Denis Villeneuve;Science-fiction / Action;163
2018;Widows;Steve McQueen;Braquage / Thriller;130
2019;Dark Phoenix;Simon Kinberg;Action / Super-héros;114
2019;The Lion King;Jon Favreau;Enfants / Comédie musicale;118
2020;Rebuilding Paradise;Ron Howard;Documentaire;95
2020;The SpongeBob Movie: Sponge on the Run;Tim Hill;Enfants / Comédie;91
2020;Hillbilly Elegy;Ron Howard;Drame;115
2020;Wonder Woman 1984;Patty Jenkins;Action / Super-héros;151
2021;The Boss Baby: Family Business;Tom McGrath;Enfants / Comédie;107
2021;Dune;Denis Villeneuve;Science-fiction / Roman;156
2021;The Survivor;Barry Levinson;Drame;129
2021;No Time to Die;Cary Joji Fukunaga;Espion;163
2021;Army of Thieves;Matthias Schweighöfer;Thriller;127
2021;The Unforgivable;Nora Fingscheidt;Drame / Thriller;112
2022;Top Gun: Maverick;Joseph Kosinski;Action / Aventure;130
2022;The Son;Florian Zeller;Drame;123
2023;Are You There God? It's Me, Margaret;Kelly Fremon Craig;-;-
2023;Dune: Part Two;Denis Villeneuve;-;-
2024;Mufasa: The Lion King;Barry Jenkins;-;118
